node_id,x,y,curvature,abs_curvature,position,sinuosity_local
137,39434.151922307254,3336447.537471395,0.0003061792736670893,0.0003061792736670893,0.1362900882464481,1.0172278611829628
138,39613.38653887524,3336298.302854827,0.00029289167475907043,0.00029289167475907043,0.1372987439758564,1.016819972628639
139,39810.19474857203,3336191.4946451304,0.0002471532553302922,0.0002471532553302922,0.13826715095967826,1.0179863524391781
140,40002.48531387871,3336073.779877077,0.0001983689572838675,0.0001983689572838675,0.13924220756961808,1.0125668556739995
141,40197.95330358934,3335963.736090113,0.0001741845059895942,0.0001741845059895942,0.14021231173638074,1.011115499243221
142,40389.31543198488,3335843.779877077,0.00018317238927338826,0.00018317238927338826,0.1411890599504687,1.0091545431553135
143,40598.640790794794,3335753.0486029075,0.00021858548372509195,0.00021858548372509195,0.14217571813852142,1.011489686834179
144,40804.42982133853,3335653.779877077,0.00026766984011945545,0.00026766984011945545,0.14316383615688075,1.0178403738063715
145,41014.058083827214,3335563.779877077,0.00031408157716863663,0.00031408157716863663,0.14415044447437542,1.0214873155852968
146,41236.112753187095,3335503.779877077,0.0003399222536794066,0.0003399222536794066,0.1451452111064277,1.0252687579569435
147,41462.30955817072,3335453.779877077,0.00033448585556147175,0.00033448585556147175,0.14614706628655838,1.0230804931915012
148,41700.93277002554,3335433.779877077,0.0003011750067892084,0.0003011750067892084,0.14718266660527182,1.0206363644408607
149,41947.840253127826,3335433.779877077,0.00025403806139193385,0.00025403806139193385,0.1482504757984762,1.0181615181562635
150,42190.60560060638,3335443.779877077,0.00021009537667710288,0.00021009537667710288,0.14930126170238464,1.0152648762783885
151,42425.08667683747,3335473.779877077,0.0001832624841690429,0.0001832624841690429,0.1503235960341431,1.0108797890159569
152,42659.56775306855,3335503.779877077,0.0001778336125592976,0.0001778336125592976,0.15134593036590155,1.0113958671612229
153,42901.03746281358,3335516.907823265,0.00018429238292390473,0.00018429238292390473,0.15239176483231856,1.0101473042736078
154,43125.41926563919,3335571.289626091,0.00018419536350045414,0.00018419536350045414,0.15339025005369383,1.009182081697933
155,43342.30030364315,3335643.779877077,0.000160911215892764,0.000160911215892764,0.15437920828071286,1.0073148254212922
156,43572.6392442505,3335683.779877077,0.00010722363825361732,0.00010722363825361732,0.15539027178671555,1.0066014687688116
157,43778.062148799065,3335783.9325092505,2.8768841839566718e-05,2.8768841839566718e-05,0.1563786331393724,1.0061057310469204
158,43991.89576922787,3335863.779877077,-5.5853007042931094e-05,5.5853007042931094e-05,0.15736577600860066,1.0042091683395675
159,44205.66616734029,3335943.779877077,-0.00012313161841949537,0.00012313161841949537,0.15835289390294877,1.0051613490825868
160,44427.72083670018,3336003.779877077,-0.00015988568242286097,0.00015988568242286097,0.15934766053500107,1.0056806708044472
161,44648.059777307535,3336053.779877077,-0.0001727174377165548,0.0001727174377165548,0.16032479443526967,1.0093648508405255
162,44878.39871791489,3336093.779877077,-0.0001803182555178134,0.0001803182555178134,0.16133585794127236,1.0110362718654065
163,45108.737658522245,3336133.779877077,-0.0001949821930565163,0.0001949821930565163,0.16234692144727506,1.0111903953176709
164,45343.218734753325,3336163.779877077,-0.00021104333708356883,0.00021104333708356883,0.1633692557790335,1.0093754641378785
165,45577.69981098441,3336193.779877077,-0.00021096377792591717,0.00021096377792591717,0.16439159011079196,1.0088250354214854
166,45820.46515846297,3336183.779877077,-0.00018380431953518735,0.00018380431953518735,0.1654423760147004,1.0079249320427524
167,46054.946234694056,3336153.779877077,-0.00013655809817444517,0.00013655809817444517,0.16646471034645888,1.0066912407694608
168,46293.56944654888,3336133.779877077,-8.600134962839014e-05,8.600134962839014e-05,0.16750031066517235,1.0045550004691173
169,46532.1926584037,3336113.779877077,-4.449621421917895e-05,4.449621421917895e-05,0.16853591098388582,1.003919829489665
170,46766.67373463478,3336083.779877077,-1.6982197363620995e-05,1.6982197363620995e-05,0.16955824531564428,1.0017185481671658
171,47000.20428618978,3336051.4851075127,-5.620379399333156e-06,5.620379399333156e-06,0.17057781427792604,1.0017620209842049
172,47235.635887096956,3336023.779877077,-9.730670345510083e-06,9.730670345510083e-06,0.17160301907791867,1.0019302747886778
173,47482.543370199244,3336023.779877077,-2.1918277799535104e-05,2.1918277799535104e-05,0.172670828271123,1.0020150838216446
174,47708.740175182866,3335973.779877077,-2.985747851497473e-05,2.985747851497473e-05,0.1736726834512537,1.002677960440676
175,47951.50552266142,3335963.779877077,-2.509001346487127e-05,2.509001346487127e-05,0.17472346935516214,1.0027198999002134
176,48181.84446326877,3335923.779877077,-1.2108129103211425e-05,1.2108129103211425e-05,0.17573453286116478,1.0027645286297566
177,48412.18340387612,3335883.779877077,-8.68846026109171e-06,8.68846026109171e-06,0.17674559636716747,1.0032145716434557
178,48642.52234448348,3335843.779877077,-3.21677074679547e-05,3.21677074679547e-05,0.17775665987317016,1.0053372228874486
179,48889.429827585765,3335843.779877077,-8.12750562901146e-05,8.12750562901146e-05,0.1788244690663745,1.0066817923292153
180,49122.153138205,3335809.5362554975,-0.00013181108033166188,0.00013181108033166188,0.17984177268458315,1.0057162947708247
181,49354.24984442421,3335773.779877077,-0.00015241853571981156,0.00015241853571981156,0.1808573708849027,1.0059827981834335
182,49580.44664940782,3335723.779877077,-0.00013163803177266824,0.00013163803177266824,0.18185922606503335,1.0084091023756643
183,49790.07491189651,3335633.779877077,-9.158809925482905e-05,9.158809925482905e-05,0.182845834382528,1.0085894263579955
184,50005.03568856675,3335556.6537051355,-6.660055152142813e-05,6.660055152142813e-05,0.1838335091621467,1.0052448309769195
185,50238.20428795677,3335523.4851057455,-6.951127767896053e-05,6.951127767896053e-05,0.18485205290375842,1.005562587875052
186,50459.657158594244,3335462.032235108,-8.709774015909261e-05,8.709774015909261e-05,0.18584596889285754,1.004585956061223
187,50666.465368291036,3335365.224025411,-0.0001038119203941875,0.0001038119203941875,0.18683350053037062,1.0045891535071672
188,50883.77971620101,3335293.779877077,-0.00011658740088675948,0.00011658740088675948,0.1878228139678026,1.008187545370662
189,51101.692249937165,3335223.779877077,-0.00012483137892592379,0.00012483137892592379,0.18881265737159963,1.0081475066278496
190,51307.17837680212,3335123.779877077,-0.00011898055773875568,0.00011898055773875568,0.18980097547244723,1.0047774147084292
191,51516.80663929081,3335033.779877077,-8.876123392550698e-05,8.876123392550698e-05,0.1907875837899419,1.0036985560398195
192,51721.008942091954,3334930.68045161,-4.0740939944500556e-05,4.0740939944500556e-05,0.19177688096732934,1.0037934084372355
193,51910.24355865993,3334791.4458350423,-9.640790190054005e-07,9.640790190054005e-07,0.19279292675368837,1.0035464923601038
194,52119.98070054485,3334701.7086931574,5.0141470004049895e-06,5.0141470004049895e-06,0.19377952004640966,1.0033290586000043
195,52329.71784242978,3334611.9715512726,-2.308410916376648e-05,2.308410916376648e-05,0.19476611333913096,1.0033792283637137
196,52539.45498431472,3334522.2344093877,-5.843661265486049e-05,5.843661265486049e-05,0.19575270663185232,1.0032000785894173
197,52743.33426182337,3334418.355131879,-7.349455182008833e-05,7.349455182008833e-05,0.19674228349884587,1.0032468610323062
198,52941.35567495576,3334300.3337187464,-6.568171483928005e-05,6.568171483928005e-05,0.19773924054363093,1.0024871990843751
199,53133.519223711875,3334168.1701699905,-5.479310151445455e-05,5.479310151445455e-05,0.19874787786477954,1.0029177275306926
200,53340.32743340867,3334071.3619602937,-5.926043519334284e-05,5.926043519334284e-05,0.19973540950229263,1.002805046924938
201,53538.53082295047,3333953.779877077,-7.928445719034874e-05,7.928445719034874e-05,0.20073207192665116,1.0021592733959583
202,53732.22812404971,3333839.4612696525,-0.00010159862923819345,0.00010159862923819345,0.20170477554862584,1.002156569402295
203,53923.178469370236,3333718.510924332,-0.00011657628016375594,0.00011657628016375594,0.2026823091429446,1.0039211885946713
204,54112.41308593821,3333579.276307764,-0.00012765247160399142,0.00012765247160399142,0.20369835492930363,1.0049992758614346
205,54301.64770250619,3333440.041691196,-0.00014548361225122798,0.00014548361225122798,0.20471440071566266,1.0055528015295496
206,54490.88231907417,3333300.8070746283,-0.00017831093669763316,0.00017831093669763316,0.20573044650202169,1.0080707566715237
207,54677.188003454015,3333154.501390248,-0.00022951818290727142,0.00022951818290727142,0.20675491712878338,1.0215660903596961
208,54843.493687833856,3332988.1957058683,-0.0002974324485277198,0.0002974324485277198,0.20777205891122333,1.0276812075305304
209,55021.01257564929,3332820.676818053,-0.0003660995754657905,0.0003660995754657905,0.2088276443056674,1.0327039543195495
210,55167.9095166254,3332646.3317689267,-0.0003948262063635682,0.0003948262063635682,0.2098135974250008,1.0287651524015853
211,55292.91326629034,3332468.776127412,-0.0003411942203157857,0.0003411942203157857,0.2107526917175782,1.0239749106860123
212,55354.366136927805,3332247.3232567743,-0.00021393199408641312,0.00021393199408641312,0.2117466077066778,1.0179249647773125
213,55429.96114318901,3332031.7282505133,-7.448512967102304e-05,7.448512967102304e-05,0.21273465385833643,1.0145109286402523
214,55498.48508163835,3331813.2043120638,1.909570947689712e-05,1.909570947689712e-05,0.21372508632964535,1.0083221977904393
215,55617.9095166254,3331615.764049612,5.098794295084746e-05,5.098794295084746e-05,0.21472301205629218,1.0049799018266363
216,55716.243636655665,3331415.445757047,4.5832163838532406e-05,4.5832163838532406e-05,0.2156880870646645,1.0043243406110103
217,55817.9095166254,3331210.6496602586,3.81126577732536e-05,3.81126577732536e-05,0.21667690506022985,1.0033923544669072
218,55909.86005604925,3331001.8293376532,4.172664794632036e-05,4.172664794632036e-05,0.2176636727986233,1.0026536544372573
219,56013.7393335579,3330797.9500601445,4.578759873248153e-05,4.578759873248153e-05,0.21865324966561694,1.0012105895885337
220,56107.9095166254,3330590.04914404,3.353508641972667e-05,3.353508641972667e-05,0.21964030153728922,1.0016170050396642
221,56227.355752951495,3330404.333640751,3.1190844358247546e-06,3.1190844358247546e-06,0.22059525188835596,1.0018029879740367
222,56345.37716608388,3330206.3122276184,-2.9121437092843214e-05,2.9121437092843214e-05,0.2215922089331413,1.0017974272193413
223,56447.9095166254,3330001.875034692,-4.552964548154842e-05,4.552964548154842e-05,0.22258131114323199,1.0016891293431662
224,56547.9095166254,3329808.1046365798,-4.601494577606963e-05,4.601494577606963e-05,0.2235243309473085,1.0021763471696579
225,56627.9095166254,3329594.3342384677,-4.739700882005128e-05,4.739700882005128e-05,0.22451144884165491,1.0030164769881256
226,56741.39680143546,3329400.2925922666,-6.272511262679425e-05,6.272511262679425e-05,0.22548361523187554,1.003027836939321
227,56845.276078944116,3329196.4133147583,-8.497457005395984e-05,8.497457005395984e-05,0.22647319209886738,1.0023552136570268
